season,week,manager,player_added,position,player_dropped,faab_bid
2024,10,skongara,Miami Dolphins,DEF,None,21
2024,10,bluewatermelon,Dawson Knox,TE,Baltimore Ravens,9
2024,10,bluewatermelon,Jakobi Meyers,WR,Daniel Jones,12
2024,10,DjBallz,Ivan Pace,LB,Eric Kendricks,7
2024,10,bluewatermelon,Derwin James,DB,Kerby Joseph,8
2024,10,DjBallz,Arizona Cardinals,DEF,Buffalo Bills,33
2024,10,rookieqbme,Marquez Valdes-Scantling,WR,Kenny Gainwell,37
2024,10,addyrao,Taylor Rapp,DB,Derek Stingley,4
2024,10,Kopite,Quentin Lake,DB,Jordan Mason,2
2024,11,vnayini,Frankie Luvu,LB,None,1
2024,11,Kopite,Seattle Seahawks,DEF,Tank Dell,11
2024,11,bluewatermelon,Jerry Jeudy,WR,Jakobi Meyers,14
2024,11,bluewatermelon,Zach Ertz,TE,Green Bay Packers,8
2024,11,addyrao,Reed Blankenship,DB,Cam Taylor-Britt,4
2024,11,addyrao,Tommy DeVito,QB,Cooper Rush,1
2024,11,addyrao,Gardner Minshew,QB,Joe Flacco,9
2024,11,cardinalsin,Javonte Williams,RB,Jared Verse,33
2024,11,skongara,Christian Watson,WR,None,33
2024,11,DjBallz,Nakobe Dean,LB,Ivan Pace,3
2024,11,skongara,Quentin Lake,DB,Miami Dolphins,9
2024,11,rookieqbme,Austin Ekeler,RB,Jimmie Ward,23
2024,11,cardinalsin,Kyle Hamilton,DB,Jalen Pitre,17
2024,11,cardinalsin,Drake Maye,QB,New Orleans Saints,13
2024,12,Kopite,DeVonta Smith,WR,Dalton Kincaid,8
2024,12,Kopite,DJ Moore,WR,Quentin Johnston,12
2024,12,Kopite,Taylor Rapp,DB,Alohi Gilman,0
2024,12,cardinalsin,Grant Delpit,DB,Kyle Hamilton,7
2024,12,cardinalsin,Baltimore Ravens,DEF,Javonte Williams,7
2024,12,cardinalsin,Seattle Seahawks,DEF,Bobby Okereke,7
2024,12,rookieqbme,Gus Edwards,RB,Brandon Stephens,17
2024,12,rookieqbme,New Orleans Saints,DEF,Green Bay Packers,13
2024,12,Kopite,Dallas Cowboys,DEF,Los Angeles Rams,18
2024,12,vnayini,Trey Hendrickson,DE,None,0
2024,12,vnayini,Jaylen Waddle,WR,None,46
2024,12,bluewatermelon,Taron Johnson,CB,Derwin James,6
2024,12,addyrao,Riley Moss,DB,Reed Blankenship,3
2024,12,bluewatermelon,Kaden Elliss,LB,Quay Walker,2
2024,12,bluewatermelon,Keenan Allen,WR,Brandon Allen,14
2024,12,addyrao,Jameis Winston,QB,Gardner Minshew,22
2024,12,skongara,Brandon Jones,DB,Quentin Lake,9
2024,12,Kopite,Tank Dell,WR,Cedric Tillman,6
2024,12,rookieqbme,Dallas Goedert,TE,New York Jets,8
2024,12,addyrao,DeAndre Hopkins,WR,Tommy DeVito,11
2024,12,siddharthasagar,Jakobi Meyers,WR,DJ Moore,21
2024,13,addyrao,DeAndre Hopkins,WR,Hunter Henry,6
2024,13,addyrao,Cam Taylor-Britt,DB,P.J. Locke,5
2024,13,Kopite,Xavier McKinney,DB,Taylor Rapp,1
2024,13,vnayini,Miami Dolphins,DEF,None,10
2024,13,DjBallz,Cooper Rush,QB,None,0
2024,13,vnayini,Kenneth Murray,LB,None,5
2024,13,Kopite,Adam Thielen,WR,Jordan Mason,0
2024,13,Kopite,Green Bay Packers,DEF,None,6
2024,13,bluewatermelon,Eric Kendricks,LB,Andrew Van Ginkel,3
2024,13,bluewatermelon,Derwin James,DB,Taron Johnson,19
2024,13,skongara,Aidan O'Connell,QB,Bryce Young,27
2024,13,chaituat,Isaac Guerendo,RB,None,152
2024,13,cardinalsin,Justin Reid,DB,Grant Delpit,7
2024,14,Kopite,DK Metcalf,WR,DeVonta Smith,2
2024,14,Kopite,Tucker Kraft,TE,Nick Chubb,7
2024,14,vnayini,Jordan Addison,WR,None,15
2024,14,siddharthasagar,Patrick Taylor,RB,Robert Spillane,51
2024,14,DjBallz,Sincere McCormick,RB,Cooper Rush,23
2024,14,siddharthasagar,Ugo Amadi,DB,Tarheeb Still,1
2024,14,DjBallz,Tre'von Moehrig,DB,None,18
2024,14,cardinalsin,Kevin Byard,DB,DaRon Bland,11
2024,14,vnayini,Quay Walker,LB,None,5
2024,14,vnayini,Frankie Luvu,LB,None,5
2024,14,vnayini,New York Jets,DEF,None,15
2024,14,skongara,Buffalo Bills,DEF,Tennessee Titans,90
2024,15,siddharthasagar,Mac Jones,QB,None,21
2024,15,siddharthasagar,Kendre Miller,RB,None,11
2024,15,addyrao,Cooper Rush,QB,Jameis Winston,11
2024,15,cardinalsin,Donovan Wilson,DB,Kevin Byard,2
2024,15,cardinalsin,Tyjae Spears,RB,David Montgomery,12
2024,15,DjBallz,Jerome Ford,RB,Tre'von Moehrig,108
2024,16,siddharthasagar,Jeremy Chinn,DB,Ugo Amadi,0
2024,16,cardinalsin,Miami Dolphins,DEF,Baltimore Ravens,18
2024,16,cardinalsin,Bryce Young,QB,Geno Smith,1
2024,16,cardinalsin,Las Vegas Raiders,DEF,Ernest Jones,18
2024,16,cardinalsin,Brian Branch,DB,Donovan Wilson,18
2024,16,siddharthasagar,Patrick Taylor,RB,Jakobi Meyers,58
